KO,pathway,description,name
K00855,CBB,"PRK, prkB; phosphoribulokinase [EC:2.7.1.19]",Phosphoribulokinase
K01601,CBB,"rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]",RuBisCO large subunit
K01602,CBB,"rbcS, cbbS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]",RuBisCO small subunit
K00927,CBB,"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",Phosphoglycerate kinase
K00150,CBB,"gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]",Glyceraldehyde-3P dehydrogenase (NAD(P)+)
K00134,CBB,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",Glyceraldehyde-3P dehydrogenase (NAD+)
K01803,CBB,"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]",Triosephosphate isomerase
K01623,CBB,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Fructose-bisphosphate aldolase, class I"
K01624,CBB,"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","Fructose-bisphosphate aldolase, class II"
K02446,CBB,"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]","Fructose-1,6-bisphosphatase II"
K01086,CBB,"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase"
K00615,CBB,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",Transketolase
K01100,CBB,E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37],Sedoheptulose-bisphosphatase
K01086,CBB,"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase"
K01807,CBB,rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6],Ribose-5P isomerase A
K01808,CBB,rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],Ribose-5P isomerase B
K01783,CBB,"rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]",Ribulose-phosphate 3-epimerase
K00169,rTCA,porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Pyruvate ferredoxin oxidoreductase subunit alpha
K00170,rTCA,porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Pyruvate ferredoxin oxidoreductase subunit beta
K00171,rTCA,porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Pyruvate ferredoxin oxidoreductase subunit delta
K00172,rTCA,"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]",Pyruvate ferredoxin oxidoreductase subunit gamma
K01007,rTCA,"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]","Pyruvate, water dikinase"
K01006,rTCA,"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]","Pyruvate, orthophosphate dikinase"
K01595,rTCA,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31],Phosphoenolpyruvate carboxylase
K01959,rTCA,pycA; pyruvate carboxylase subunit A [EC:6.4.1.1],Pyruvate carboxylase subunit A
K01960,rTCA,pycB; pyruvate carboxylase subunit B [EC:6.4.1.1],Pyruvate carboxylase subunit B
K01958,rTCA,"PC, pyc; pyruvate carboxylase [EC:6.4.1.1]",Pyruvate carboxylase
K00024,rTCA,mdh; malate dehydrogenase [EC:1.1.1.37],Malate dehydrogenase
K01676,rTCA,"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]","Fumarate hydratase, class I"
K01679,rTCA,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]","Fumarate hydratase, class II"
K01677,rTCA,"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]",Fumarate hydratase subunit alpha
K01678,rTCA,"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]",Fumarate hydratase subunit beta
K00239,rTCA,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]",Succinate dehydrogenase flavoprotein subunit
K00240,rTCA,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]",Succinate dehydrogenase iron-sulfur subunit
K00241,rTCA,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit",Succinate dehydrogenase cytochrome b subunit
